Name,Gender,Religion
Yameena,F,Muslim
Yasira,F,Muslim
Zahra,F,Muslim
Zeenah,F,Muslim
Aadi,M,Hindu
Aditya,M,Hindu
Ajay,M,Hindu
Ajitabh,M,Hindu
Alok,M,Hindu
Aman,M,Hindu
Amit,M,Hindu
Amitabh,M,Hindu
Amol,M,Hindu
Anand,M,Hindu
Anshul,M,Hindu
Arjun,M,Hindu
Arun,M,Hindu
Ashwini,M,Hindu
Avinash,M,Hindu
Balakrishna,M,Hindu
Bali,M,Hindu
Bhaskar,M,Hindu
Bhavesh,M,Hindu
Bhuvan,M,Hindu
Chandra,M,Hindu
Charanjit,M,Hindu
Chetan,M,Hindu
Deepak,M,Hindu
Devendra,M,Hindu
Dharma,M,Hindu
Dhiren,M,Hindu
Dhruv,M,Hindu
Dilip,M,Hindu
Gaurav,M,Hindu
Gurudutt,M,Hindu
Hari,M,Hindu
Hemant,M,Hindu
Hiranya,M,Hindu
Indra,M,Hindu
Ishan,M,Hindu
Jagmohan,M,Hindu
Jaidev,M,Hindu
Kanan,M,Hindu
Kaushik,M,Hindu
Lakshman,M,Hindu
Mahendra,M,Hindu
Manish,M,Hindu
Manu,M,Hindu
Mohan,M,Hindu
Neel,M,Hindu
Nihar,M,Hindu
Paramjeet,M,Hindu
Pavan,M,Hindu
Rajan,M,Hindu
Raman,M,Hindu
Ravi,M,Hindu
Rishi,M,Hindu
Rupin,M,Hindu
Sagar,M,Hindu
Saurav,M,Hindu
Shyam,M,Hindu
Siddharth,M,Hindu
Tanmay,M,Hindu
Tarun,M,Hindu
Tushar,M,Hindu
Upendra,M,Hindu
Vinay,M,Hindu
Yash,M,Hindu
Alka,F,Hindu
Amrita,F,Hindu
Ananya,F,Hindu
Anisha,F,Hindu
Anjali,F,Hindu
Annapurna,F,Hindu
Anusha,F,Hindu
Avantika,F,Hindu
Chandrika,F,Hindu
Divya,F,Hindu
Ekta,F,Hindu
Gayatri,F,Hindu
Himani,F,Hindu
Ila,F,Hindu
Indrakshi,F,Hindu
Indrani,F,Hindu
Ishani,F,Hindu
Janaki,F,Hindu
Jaya,F,Hindu
Juhi,F,Hindu
Jyotsna,F,Hindu
Kajal,F,Hindu
Kiran,F,Hindu
Kushala,F,Hindu
Lakshmi,F,Hindu
Leela,F,Hindu
Mahima,F,Hindu
Malavika,F,Hindu
Mallika,F,Hindu
Manushri,F,Hindu
Maya,F,Hindu
Mira,F,Hindu
Nandika,F,Hindu
Neeharika,F,Hindu
Neelam,F,Hindu
Neha,F,Hindu
Nivedita,F,Hindu
Pallavi,F,Hindu
Pratima,F,Hindu
Priyadarshini,F,Hindu
Ramani,F,Hindu
Rana,F,Hindu
Rohini,F,Hindu
Ruchi,F,Hindu
Sanjana,F,Hindu
Shilpa,F,Hindu
Shreya,F,Hindu
Suchita,F,Hindu
Suruchi,F,Hindu
Sweta,F,Hindu
Tanushri,F,Hindu
Tara,F,Hindu
Ujjwala,F,Hindu
Uma,F,Hindu
Urmila,F,Hindu
Vaishali,F,Hindu
Abigail,F,Christian
Ada,F,Christian
Ahlai,F,Christian
Angel,F,Christian
Anna,F,Christian
Apphia,F,Christian
Atarah,F,Christian
Athaliah,F,Christian
Bathsheba,F,Christian
Bilhah,F,Christian
Candace,F,Christian
Chloe,F,Christian
Claudia,F,Christian
Damaris,F,Christian
Deborah,F,Christian
Delilah,F,Christian
Diana,F,Christian
Dinah,F,Christian
Elizabeth,F,Christian
Esther,F,Christian
Eunice,F,Christian
Eve,F,Christian
Hagar,F,Christian
Hannah,F,Christian
Huldah,F,Christian
Jedidah,F,Christian
Jezebel,F,Christian
Joanna,F,Christian
Judith,F,Christian
Julia,F,Christian
Leah,F,Christian
Lois,F,Christian
Lydia,F,Christian
Martha,F,Christian
Mary,F,Christian
Michaiah,F,Christian
Milcah,F,Christian
Miriam,F,Christian
Naarah,F,Christian
Naomi,F,Christian
Orpah,F,Christian
Phebe,F,Christian
Priscilla,F,Christian
Rachel,F,Christian
Rebecca,F,Christian
Ruth,F,Christian
Salome,F,Christian
Sapphira,F,Christian
Sarai,F,Christian
Sherah,F,Christian
Susanna,F,Christian
Tabitha,F,Christian
Tamar,F,Christian
Tirza,F,Christian
Vashti,F,Christian
Zilpah,F,Christian
Aaron,M,Christian
Abel,M,Christian
Abraham,M,Christian
Adam,M,Christian
Andrew,M,Christian
Asher,M,Christian
Barak,M,Christian
Barnabas,M,Christian
Bartholomew,M,Christian
Benjamin,M,Christian
Dan,M,Christian
Elijah,M,Christian
Elon,M,Christian
Ephraim,M,Christian
Ezekiel,M,Christian
Gabriel,M,Christian
Gad,M,Christian
Gideon,M,Christian
Hillel,M,Christian
Hiram,M,Christian
Immanuel,M,Christian
Isaac,M,Christian
Ishmael,M,Christian
Israel,M,Christian
Jabin,M,Christian
Jacob,M,Christian
James,M,Christian
Jared,M,Christian
Jesse,M,Christian
Jesus,M,Christian
Jethro,M,Christian
Joel,M,Christian
John,M,Christian
Jokim,M,Christian
Joseph,M,Christian
Joshua,M,Christian
Josiah,M,Christian
Judah,M,Christian
Levi,M,Christian
Lucas,M,Christian
Luke,M,Christian
Mark,M,Christian
Matthew,M,Christian
Meshach,M,Christian
Micah,M,Christian
Moses,M,Christian
Noah,M,Christian
Paul,M,Christian
Peter,M,Christian
Philip,M,Christian
Reuben,M,Christian
Rufus,M,Christian
Samson,M,Christian
Saul,M,Christian
Seth,M,Christian
Silas,M,Christian
Simon,M,Christian
Solomon,M,Christian
Stephen,M,Christian
Thaddeus,M,Christian
Thomas,M,Christian
Timothy,M,Christian
Zacharias,M,Christian
